   WAVE          FLUX
    cm        erg/s/cm^3
1.505417e-01 0.000000e+00
1.523007e-01 0.000000e+00
1.540802e-01 0.000000e+00
1.558806e-01 0.000000e+00
1.577019e-01 0.000000e+00
1.595446e-01 0.000000e+00
1.614088e-01 0.000000e+00
1.632947e-01 0.000000e+00
1.652027e-01 0.000000e+00
1.671330e-01 0.000000e+00
1.690859e-01 0.000000e+00
1.710615e-01 0.000000e+00
1.730603e-01 0.000000e+00
1.750824e-01 0.000000e+00
1.771281e-01 0.000000e+00
1.791978e-01 0.000000e+00
1.812916e-01 0.000000e+00
1.834099e-01 0.000000e+00
1.855529e-01 0.000000e+00
1.877210e-01 0.000000e+00
1.899144e-01 0.000000e+00
1.921334e-01 0.000000e+00
1.943784e-01 0.000000e+00
1.966496e-01 0.000000e+00
1.989473e-01 0.000000e+00
2.012719e-01 0.000000e+00
2.036236e-01 0.000000e+00
2.060028e-01 0.000000e+00
2.084098e-01 0.000000e+00
2.108450e-01 0.000000e+00
2.133086e-01 0.000000e+00
2.158010e-01 0.000000e+00
